obs,source
performance_measures_count_publish_wizard,app_performance_metric_observation
contacts_serp_grouped_doubles,search_stream_metric_observation
str_click,str_metric_observation
autoload_view_events,avitopro_tmp_metric_observation
favorites_added,search_stream_metric_observation
buyer_delivery_orders_returned,delivery_metric_observation
total_blocking_time_events_p50,web_performance_metric_observation
items_delivery_category_soa,delivery_metric_observation
answered_proxy_calls_map,matched_anonymous_calls_metric_observation
buyer_favouriteseller_add_from_pp,click_stream_metric_observation
dom_load_session_duration_events,web_performance_metric_observation
location_dialogue_savings_app_settings,location_changings_metric_observation
localloading_session_duration_events,new_performance_metric_observation
performance_time_to_content_serp,app_performance_metric_observation
lf_amount_net_single_listing,lf_metric_observation
performance_measures_count_edit_item,app_performance_metric_observation
ext_users,b2b_core_daily_metric_observation
domoteka_preview_clicks,click_stream_metric_observation
vas_amount_net_adj,b2b_core_daily_metric_observation
anon_calls_matched_both_types_rec,matched_anonymous_calls_metric_observation
seller_has_rating_any,ratings_logcat_metric_observation
item_views_serp_radius,search_stream_metric_observation
recblock_shows,search_stream_metric_observation
appcall_sx_incoming_item_gallery_answered,app_calls_metric_observation
serp_with_query_small,search_stream_metric_observation
appcall_sx_outgoing_call_log_callback_success,app_calls_metric_observation
traffic_daily.page_view.user_restore,click_stream_metric_observation
ticket_android_created,support_metric_observation
buyer_target_clicks_vip,search_stream_metric_observation
item_200_plus_km_from_location_reactivated,item_geo_metric_observation
answered_inbox_first_messages_within_1day,messenger_metric_observation
itemviews_on_rating_5,ratings_metric_observation
vas_amount_net_activation,mnz_vas_metric_observation
lf_transactions,b2b_core_daily_metric_observation
serverloading_sessions_p25,new_performance_metric_observation
first_paint_session_events_p75,web_performance_metric_observation
item_100m_from_location,item_geo_metric_observation
correct_searches_to_contact,labor_metric_observation
contacts_paid_express_cv,express_cv_metric_observation
total_image_send_button_clicks,messenger_metric_observation
traffic_daily.other.item_sendabuse,click_stream_metric_observation
avitopro_statistic_download,avitopro_key_actions_observations
search_subscription_views,click_stream_metric_observation
user_interactive_events,web_performance_metric_observation
services_amount,billing_metric_observation
item_20m_from_location_reactivated,item_geo_metric_observation
item_views_rec_vas,search_stream_metric_observation
public_profile_active_items_paginations,public_profile_metric_observation
user_interactive_events_p25,web_performance_metric_observation
fav_added_push,search_stream_metric_observation
ad_requests,ad_metric_observation
wordbreaker_digit_disabled,click_stream_metric_observation
di_appstart_sessions,new_performance_metric_observation
shows_contact_recblock,search_stream_metric_observation
location_changings_expanded,location_changings_metric_observation
review_add_open_page,click_stream_metric_observation
active_listers,c2c_core_daily_metric_observation
on_load_events_p25,web_performance_metric_observation
item_views_serp_saved,search_stream_metric_observation
connection_events_p25,web_performance_metric_observation
items_sold_notonavito,sellerx_metric_observation_w_startdate
time_to_load_profile,web_speed_metric_observartion
traffic_daily.page_view.view_categories,click_stream_metric_observation
appcall_sx_outgoing_messenger_call_back,app_calls_metric_observation
draw_sessions_p25,new_performance_metric_observation
seller_str_bookings_comfirmed,str_metric_observation
performance_time_to_content_shop_info,app_performance_metric_observation
init_sessions_sla,new_performance_metric_observation
content_paint_session_events_p50,web_performance_metric_observation
searches_witcher_delivery_with_contact,search_stream_metric_observation
request_response_events_p25,web_performance_metric_observation
search_btc_premium,search_stream_metric_observation
location_changings_radius,location_changings_metric_observation
received_reviews_list_open,click_stream_metric_observation
successful_payment_CV,billing_metric_observation
seller_delivery_orders_with_pay,delivery_metric_observation
fav_added_rec_u2i_vas,search_stream_metric_observation
dom_completion_duration,web_performance_metric_observation
location_dialogue_opens,location_changings_metric_observation
messenger_chat_deleted,click_stream_metric_observation
fav_added_rec_i2i_vas,search_stream_metric_observation
cv_packages_transactions_all,avitopro_tmp_metric_observation
vas_amount_highlight,mnz_vas_metric_observation
total_blocking_time_events,web_performance_metric_observation
tooltip_not_accepts_city,location_changings_metric_observation
attach_button_clicks,messenger_metric_observation
draw_sessions,new_performance_metric_observation
items_rejected_pricelist,sellerx_metric_observation_w_startdate
zooms,map_stream_metric_observation
traffic_daily.page_view.search_subscription_list_view,click_stream_metric_observation
traffic_daily.other.item_add_auto_sts_photo_start,click_stream_metric_observation
prepare_appstart_session_duration,new_performance_metric_observation
search_query_corrections,click_stream_metric_observation
items_edited_by_src,sellerx_metric_observation_w_startdate
deactivated_listers_voluntary,c2c_core_daily_metric_observation
anon_calls_matched_answered_itemview,matched_anonymous_calls_metric_observation
call_phone_screen_views_client,click_stream_metric_observation
connection_duration,web_performance_metric_observation
traffic_daily.other.search_subscription_email_item_click,click_stream_metric_observation
contacts_rec_i2i_vas,search_stream_metric_observation
buyer_target_clicks_rec_vas,search_stream_metric_observation
fav_added_serp_radius,search_stream_metric_observation
re_main_pages,click_stream_metric_observation
str_contact,str_metric_observation
session_events_p50,web_performance_metric_observation
answered_inbox_first_messages_within_1hour_7hour,messenger_metric_observation
payment_method_choice_CV,billing_metric_observation
payment_method_page,billing_metric_observation
traffic_daily.page_view.user_changecontacts,click_stream_metric_observation
items_view_events,avitopro_tmp_metric_observation
not_default_radius_searches,geo_searches_metric_observation
from_session_start_to_c_any_source_p50,labor_metric_observation
di_appstart_sessions_p95,new_performance_metric_observation
item_added_chains_15min,sellerx_metric_observation_w_startdate
active_items,sellerx_metric_observation_w_startdate
btc_views_serp_price_filter_search,search_stream_metric_observation
buyer_target_clicks_rec_i2i_push,search_stream_metric_observation
subs_transactions_all,avitopro_tmp_metric_observation
performance_events_count_channel,app_performance_metric_observation
delivery_seller_vas_spend_amount,delivery_metric_observation
from_session_start_to_iv_search_nq_p25,labor_metric_observation
total_text_send_button_clicks,messenger_metric_observation
active_items_0_photo,sellerx_metric_observation_w_startdate
anon_calls_matched_answered,matched_anonymous_calls_metric_observation
fav_added_witcher_regions,search_stream_metric_observation
answered_first_messages,messenger_metric_observation
settings_view_events,avitopro_tmp_metric_observation
buyer_str_bookings,str_metric_observation
processing_events_p25,web_performance_metric_observation
helpcenter_article_dislike_regular,support_metric_observation
searches_with_rating,ratings_metric_observation
avitopro_view_events,avitopro_tmp_metric_observation
rating_view_events,avitopro_tmp_metric_observation
messenger_geo_messages,messenger_metric_observation
contacts_witcher_regions,search_stream_metric_observation
searches_metro,search_stream_metric_observation
fav_added_serp_saved,search_stream_metric_observation
from_session_start_to_c_p75,labor_metric_observation
location_changings_wo_savings,location_changings_metric_observation
traffic_daily.page_view.user_profile_show,click_stream_metric_observation
items_sold_another_reason,sellerx_metric_observation_w_startdate
tariff_amount_pro,lf_metric_observation
localloading_events_p25,new_performance_metric_observation
fav_added_serp_road,search_stream_metric_observation
ttfb_duration,web_performance_metric_observation
response_events_p95,web_performance_metric_observation
prepare_events_p95,new_performance_metric_observation
buyer_target_clicks_serp_radius,search_stream_metric_observation
items_closed_no_answer,sellerx_metric_observation_w_startdate
fav_added_rec_i2i,search_stream_metric_observation
anonnumber_long_talks,communications_metric_observation
item_no_address_id_reactivated,item_geo_metric_observation
item_20m_from_location,item_geo_metric_observation
seller_items_favorites_added,sellerx_metric_observation_w_startdate
prepare_session_duration_events,new_performance_metric_observation
delivery_total_item_view,delivery_metric_observation
vas_amount_vip,mnz_vas_metric_observation
dom_load_session_events_p25,web_performance_metric_observation
contacts_serp_saved,search_stream_metric_observation
on_load_duration,web_performance_metric_observation
performance_events_count_channels,app_performance_metric_observation
localloading_duration_events,new_performance_metric_observation
users_avitopro_key_actions,avitopro_key_actions_observations
appcall_sx_incoming_messenger_chat_menu_answered,app_calls_metric_observation
items_delivery_available,delivery_metric_observation
items_started_with_delivery,delivery_metric_observation
request_events_p25,web_performance_metric_observation
searches_without_query_date_sort,search_stream_metric_observation
contacts_witcher_delivery,search_stream_metric_observation
delivery_click,delivery_metric_observation
init_appstart_sessions_p75,new_performance_metric_observation
item_edit_starts,sellerx_metric_observation_w_startdate
traffic_daily.other.hc_close_article_page,click_stream_metric_observation
item_views_rec_u2i_vas,search_stream_metric_observation
items_blocked_user_blocked,sellerx_metric_observation_w_startdate
first_input_delay_duration,web_performance_metric_observation
tariff_amount_net_burned_from_package,lf_metric_observation
retry_button_clicks,messenger_metric_observation
appcall_item_show_buttons,app_calls_metric_observation
lf_packages_transactions_all,avitopro_tmp_metric_observation
searches_serp_extra_delivery,search_stream_metric_observation
searches_radius_with_btc,search_stream_metric_observation
performance_measures_count_shops_list,app_performance_metric_observation
phone_views_item_right,search_stream_metric_observation
init_sessions_p25,new_performance_metric_observation
traffic_daily.other.item_activate,click_stream_metric_observation
performance_measures_count_profile,app_performance_metric_observation
appcall_bx_outgoing_notification_call_back_success,app_calls_metric_observation
registration_success,cookie_account_enter
seller_delivery_orders_in_transit,delivery_metric_observation
avitopro_lf_amount,avitopro_tmp_metric_observation
item_edits,sellerx_metric_observation_w_startdate
init_events_p50,new_performance_metric_observation
di_appstart_session_duration,new_performance_metric_observation
avitopro_item_activateautopublish,avitopro_key_actions_observations
request_response_duration,web_performance_metric_observation
request_response_duration_events,web_performance_metric_observation
ticket_email_created,support_metric_observation
contacts_rec_vip,search_stream_metric_observation
draw_appstart_sessions_p50,new_performance_metric_observation
secure_connection_events_p95,web_performance_metric_observation
ad_vertical_mp,ad_metric_observation
successful_payment,billing_metric_observation
items_rejected_wrong_vin,sellerx_metric_observation_w_startdate
total_delivery_click,delivery_metric_observation
avitopro_item_deactivateautopublish,avitopro_key_actions_observations
