metric_name,metric_id,numerator_observations,denominator_observations,numerator_uniq,denominator_uniq,numerator_threshold,denominator_threshold,date_filter,num_sources,den_sources,sources
sessions_btc_s_noq_per_s_noq,4873000046,search_btc_noquery,searches_without_query_serp,"participant,session","session,participant",0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
share_suggest_buyers_to_suggest_users,4873000086,sessions_with_query_suggest_click_contact,search_suggest_clicks,participant,participant,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
sqp_wordbreaker_suggest_users_share,78449500030,sqp_wordbreaker_suggest,searches,participant,participant,0,0,,,search_stream_metric_observation,search_stream_metric_observation
successful_payment_share_services,5268500008,successful_payment_services,payment_method_page_services,,,0,0,,billing_metric_observation,billing_metric_observation,"billing_metric_observation,billing_metric_observation"
suggest_buyers_to_suggest_users,26132250001,sessions_with_suggest_click_and_contact,search_suggest_clicks,participant,participant,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
support_android_tickets_created,6361500004,ticket_android_created,,,,0,0,,support_metric_observation,,support_metric_observation
support_hc_article_like_popular_rate,55587000010,helpcenter_article_like_popular,"helpcenter_article_like_popular,helpcenter_article_dislike_popular",,,0,0,,support_metric_observation,support_metric_observation,"support_metric_observation,support_metric_observation"
total_delivery_contact,2820500072,total_delivery_contact,,,,0,0,,delivery_metric_observation,,delivery_metric_observation
total_str_contact,2820500075,total_str_contact,,,,0,0,,str_metric_observation,,str_metric_observation
user_domoteka_preview_clicks,56636500003,domoteka_preview_clicks,,participant,,0,0,,click_stream_metric_observation,,click_stream_metric_observation
user_from_session_start_to_c_any_source_p99,93392500005,from_session_start_to_c_any_source_p99,,participant,,0,0,,labor_metric_observation,,labor_metric_observation
user_iv_from_witcher_any,80610750055,"item_views_witcher_new_auto,item_views_witcher_new_flats,item_views_witcher_regions,item_views_witcher_delivery",,participant,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
user_non_fatal_error_per_users,6395500007,non_fatal_app_error,"realty_development_phone_views,phone_views_total,searches_without_query,favorites_added,booking_created_short_rent,first_messages,searches_with_query,delivery_flow_beginings,delivery_order_created,item_views",participant,participant,0,0,,click_stream_metric_observation,"click_stream_metric_observation,search_stream_metric_observation","click_stream_metric_observation,search_stream_metric_observation,click_stream_metric_observation"
user_payment_method_page,6122750079,payment_method_page,,participant,,0,0,,billing_metric_observation,,billing_metric_observation
user_wtc_from_witcher_del,80610750071,"searches_from_witcher_delivery,item_views_witcher_delivery",,participant,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
