,metric_name,metric_id,numerator_observations,denominator_observations,numerator_uniq,denominator_uniq,numerator_threshold,denominator_threshold,date_filter,num_sources,den_sources,sources
852,first_paint_session_percent_p95,42205500008,first_paint_session_events_p95,first_paint_session_events,,,0,0,,web_performance_metric_observation,web_performance_metric_observation,"web_performance_metric_observation,web_performance_metric_observation"
853,geo_redirect_disabled,4927250017,geo_redirect_disabled,,,,0,0,,click_stream_metric_observation,,click_stream_metric_observation
854,geo_redirect_suggest_ctr_disable,4927250021,geo_redirect_suggest_disabled,geo_redirect_suggest,,,0,0,,click_stream_metric_observation,click_stream_metric_observation,"click_stream_metric_observation,click_stream_metric_observation"
855,item_add_form_input_per_item_chains_started,45741500002,item_add_chains_form_input,item_chains_started,,,0,0,,sellerx_metric_observation_w_startdate,sellerx_metric_observation_w_startdate,"sellerx_metric_observation_w_startdate,sellerx_metric_observation_w_startdate"
856,item_views_from_map_total,55093000029,"item_views_from_map,item_views_serp_map_area",,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
857,item_views_rec_i2i_push,34018750038,item_views_rec_i2i_push,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
858,item_views_vip,1898250059,item_views_vip,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
859,items_created,11655250010,item_add_chains_item_create,,,,0,0,,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
860,items_edited_description_start_date,17744500014,items_edited_description,,,,0,0,start,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
861,items_rejected,4584000009,items_rejected,,,,0,0,,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
862,items_sold_onavito,2732500005,items_sold_onavito,,,,0,0,,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
863,items_with_address_id,53780750038,item_with_address_id,,,,0,0,,item_geo_metric_observation,,item_geo_metric_observation
864,items_with_city_new_per_new,78135500013,item_has_city_new,items_started,,,0,0,,item_geo_metric_observation,sellerx_metric_observation_w_startdate,"sellerx_metric_observation_w_startdate,item_geo_metric_observation"
865,iv_from_witcher_delivery,80610750018,item_views_witcher_delivery,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
866,iv_from_witcher_regions_per_witcher_reg,80610750021,item_views_witcher_regions,searches_witcher_regions,,,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
867,lf_price_net_adj,4927250032,lf_amount_net_adj,lf_transactions,,,0,0,,b2b_core_daily_metric_observation,b2b_core_daily_metric_observation,"b2b_core_daily_metric_observation,b2b_core_daily_metric_observation"
868,loc_chng_bad_russia,33620750015,location_changings_bad_russia,,,,0,0,,location_changings_metric_observation,,location_changings_metric_observation
869,map_clusters_per_map,76339250002,clusters,map_searches,,,0,0,,map_stream_metric_observation,map_stream_metric_observation,"map_stream_metric_observation,map_stream_metric_observation"
870,map_price_rubricator_filters,76339250010,"rubricator_filters_map_searches,price_filters_map_searches",,,,0,0,,map_stream_metric_observation,,map_stream_metric_observation
871,messenger_image_messages,5843500009,messenger_image_messages,,,,0,0,,messenger_metric_observation,,messenger_metric_observation
872,phone_views_total,1898250062,phone_views_total,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
873,processing_on_load_duration,38793750039,processing_on_load_duration,processing_on_load_duration_events,,,0,0,,web_performance_metric_observation,web_performance_metric_observation,"web_performance_metric_observation,web_performance_metric_observation"
874,public_profile_visit_from_subscriptions_ratings,12721250018,public_profile_visit_from_subscriptions_ratings,,,,0,0,,click_stream_metric_observation,,click_stream_metric_observation
875,s_default_sort_per_s,4688500002,searches_default_sort,searches,,,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
876,search_items_ratings_coverage,4873000026,search_items_with_rating,search_items,,,0,0,,ratings_metric_observation,ratings_metric_observation,"ratings_metric_observation,ratings_metric_observation"
877,search_redirect_disabled,4927250044,search_redirect_disabled,,,,0,0,,click_stream_metric_observation,,click_stream_metric_observation
878,searches_contact_push,1898250066,searches_contact_push,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
879,searches_contact_regions,28301750020,searches_contact_regions,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
880,searches_contact_vip,1898250069,searches_contact_vip,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
881,searches_extra_regions,34255750006,searches_extra_regions,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
882,searches_serp_extra_regions,34255750008,searches_serp_extra_regions,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
883,searches_witcher_delivery_per_search,80610750044,searches_witcher_delivery,searches,,,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
884,searches_witcher_new_flats,84578500031,searches_witcher_new_flats,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
885,sellers_with_rating,4873000029,seller_has_rating_any,,,,0,0,,ratings_logcat_metric_observation,,ratings_logcat_metric_observation
886,serp_empty_per_s,4697250001,serp_empty,searches,,,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
887,serp_wq_small_per_s_wq,5211500004,serp_with_query_small,searches_with_query,,,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
888,shop_view_events,6122750040,shop_view_events,,,,0,0,,avitopro_tmp_metric_observation,,avitopro_tmp_metric_observation
889,shops_view_events,6122750041,shops_view_events,,,,0,0,,avitopro_tmp_metric_observation,,avitopro_tmp_metric_observation
890,sqp_wordbreaker_digit_replace_ctr_disable,78449500013,sqp_wordbreaker_digit_disabled,sqp_wordbreaker_digit_replace,,,0,0,,click_stream_metric_observation,click_stream_metric_observation,"click_stream_metric_observation,click_stream_metric_observation"
891,tariff_users_single_revenue,38264750016,tariff_amount_single_listing,,,,0,0,,lf_metric_observation,,lf_metric_observation
892,user_auth,2602000016,auth_success,,participant,,0,0,,cookie_account_enter,,cookie_account_enter
893,user_bonuses_view_events,6122750058,bonuses_view_events,,participant,,0,0,,avitopro_tmp_metric_observation,,avitopro_tmp_metric_observation
894,user_created_reviews_list_open,6122750060,created_reviews_list_open,,participant,,0,0,,click_stream_metric_observation,,click_stream_metric_observation
895,user_favorites_removed,6122750067,favorites_removed,,participant,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
896,user_item_views_serp_saved_per_user_search_saved,55093000068,item_views_serp_saved,searches_saved,participant,participant,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
897,user_map_interaction_on_item,61412250010,map_interaction_on_item,,participant,,0,0,,click_stream_metric_observation,,click_stream_metric_observation
898,user_subs_transactions_lk,6122750091,subs_transactions_lk,,participant,,0,0,,avitopro_tmp_metric_observation,,avitopro_tmp_metric_observation
899,user_witcher_del_with_iv_per_user_witcher_del,80610750067,searches_witcher_delivery_with_item_view,searches_witcher_delivery,participant,participant,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
900,user_witcher_reg_with_iv_per_user_witcher_reg,80610750069,searches_witcher_regions_with_item_view,searches_witcher_regions,participant,participant,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
901,users_btc_funnel_first,70307750008,"favorites_added,realty_development_phone_views,total_delivery_click,phone_views_total,write_button_clicks",,participant,,0,0,,"click_stream_metric_observation,delivery_metric_observation,search_stream_metric_observation",,"click_stream_metric_observation,delivery_metric_observation,search_stream_metric_observation"
902,users_btc_serp_radius_per_users_radius,33695500069,buyer_target_clicks_serp_radius,searches_radius,participant,participant,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
903,users_contact_rec_u2i_vas,34018750052,contacts_rec_u2i_vas,,participant,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
904,users_favouriteseller_page_open,5843500021,user_favouritesellers_open,,participant,,0,0,,click_stream_metric_observation,,click_stream_metric_observation
905,users_item_add_category_last_click,5026000025,item_add_chains_category_last_click,,participant,,0,0,,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
906,users_item_rejected_mileage,17744500058,items_rejected_mileage,,participant,,0,0,,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
907,users_item_view_rec_daily_vas,34018750053,item_views_rec_vas,,participant,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
908,users_item_views_serp_metro,33695500086,item_views_serp_metro,,participant,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
909,users_loc_susp_chng,18359750035,location_changings_suspicious,,participant,,0,0,,location_changings_metric_observation,,location_changings_metric_observation
910,users_with_item_added_chains_6_15min,5434000047,item_added_chains_6_15min,,participant,,0,0,,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
911,vas_amount_premium,5080000044,vas_amount_premium,,,,0,0,,mnz_vas_metric_observation,,mnz_vas_metric_observation
912,vas_avo_net_highlight,5080000067,vas_amount_net_highlight,vas_transactions_highlight,,,0,0,,mnz_vas_metric_observation,mnz_vas_metric_observation,"mnz_vas_metric_observation,mnz_vas_metric_observation"
